TRT,TFP,TRC,TI,TM,TGC,TRAN
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1519,35,0,0,0
0,0,1312.9,13.2,0,0,788.92
0,0,1109.6,13.9,0,0,577.676
0,0,1195,13.7,0,0,488.224
0,0,904.2,11.9,0,0,525.8
0,0,951,36.3,0,0,397.848
0,0,0,0,0,0,418.44
0,0,5.5,0,0,0,0
0,0,1756,76,0,0,2.42
0,0,-5,0,0,0,772.64
0,0,15,25,0,0,-2.2
0,0,0,0,0,0,6.6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,320,0,0,0,0,0
0,0,972.78032508,219.86981981,0,0,0
0,0,49.8184284,7.02881838,0,0,0
0,0,0,0,0,0,0
0,16,0,0,0,0,0
0,50,1759.74779031,12.68782377,0,0,0
0,212,1750.43504346,1101.63366989,0,0,385.4265723
276.51139195,1745.88897867,3327.98843981,1095.69208255,41.17793215,49.95195278,506.656744264
0,0,964.94317424,213.92641974,0,0,1328.09580067
0,312.267736,142.978908072,254.4815070776,3.1947668104,0,0
0,224.489126,102.787468602,182.9466336766,2.2967163314,0,0
0,230.465542,105.523907034,187.8170931422,2.3578601938,0,0
0,225.609704,536.851577868,280.8409044164,2.3081808056,0,0
0,227.85086,104.32671522,185.686267126,2.331109754,0,0
0,229.71849,105.18185223,187.208285709,2.350217211,0,0
0,242.7919,111.1678113,197.86241579,2.48396941,0,0
0,225.236178,591.524885806,292.6266050498,2.3043593142,0,0
0,225.609704,103.300550808,183.8598448264,2.3081808056,0,0
0,264.456408,121.087400616,215.5178313528,2.7056159112,0,0
0,231.212594,105.865961838,188.4259005754,2.3655031766,0,0
0,232.333172,758.032918594,334.9214061952,2.3769676508,0,0
0,112.085037,802.695186559,388.2352223117,2.9945812743,0,0
0,109.482731,130.908214437,232.9974410071,2.9250553409,0,0
0,120.449592,144.021261384,256.3367432472,3.2180574888,0,0
0,130.301179,653.014665843,388.3308353939,3.4812628081,0,0
0,144.056225,172.247650575,306.5755802725,3.8487570275,0,0
0,1255.984403,1501.777257981,2672.9434785823,33.5561951417,0,0
0,420.830056,8253.356747162,1331.9760913896,11.2433366584,0,0
0,343.87615,411.17181105,731.825578715,9.187355485,0,942.6015
0,371.943879,444.732321033,791.5583691939,9.9372423381,0,0
0,292.573546,1639.534147742,911.1133544986,7.8167013694,0,0
0,279.376137,334.049314599,594.5588350317,7.4641055643,0,0
0,326.031766,389.835327882,693.8497649006,8.7106062274,0,0
0,371,1353.43868356,843.600733,7.7653,0,0
0,400,324.051,576.7633,7.2407,0,0
0,338,314.496,559.7568,7.0272,0,0
0,376,1285.61898668,748.87806388,6.6246,0,0
0,308,263.172,468.4076,5.8804,0,0
0.00156616,309,242.697,431.9651,5.4229,0,0
0,334,356.538,634.5854,7.9666,0,0
0.00202311,334,283.92,505.336,6.344,0,0
0.00124004,322,241.605,430.0215,5.3985,0,0
0.00111631,308,257.166,457.7178,5.7462,0,0
0.00125939,284,288.834,514.0822,6.4538,0,0
0.00125811,276,223.041,396.9803,4.9837,0,0
0,292,224.952,400.3816,5.0264,0,0
0,295,250.341,445.5703,5.5937,0,0
0,423,362.817,645.7611,8.1069,0,0
0,287,243.243,432.9369,5.4351,0,0
0,320,226.044,402.3252,5.0508,0,0
0,269,231.231,411.5573,5.1667,0,0
0,274,217.581,387.2623,4.8617,0,0
0,273,239.148,425.6484,5.3436,0,0
0,245,195.468,347.9044,4.3676,0,0
0,272,227.682,405.2406,5.0874,0,0
0,272,202.02,359.566,4.514,0,0
0,268,7802.412,13084.0996,5.1484,0,0
